time,gt_x,gt_y,gt_z,slam_x,slam_y,slam_z,err_x,err_y,err_z,position_error_norm,dvl_matched,dvl_time_diff,dvl_residual_x,dvl_residual_y,dvl_residual_z,yaw_error,depth_residual,mag_residual,mag_matched,mag_time_diff,mag_yaw_measured,sonar_up_matched,sonar_down_matched,sonar_left_matched,sonar_right_matched,sonar_up_residual,sonar_down_residual,sonar_left_residual,sonar_right_residual,sonar_up_range,sonar_down_range,sonar_left_range,sonar_right_range
8.75,1.744,0.294102,0.192688,1.73528,0.26932,0.204374,-0.00871572,-0.0247826,0.0116858,0.028752373111073804,1,0.03,0.0136103,-0.00653522,0.0197924,-0.00173158,,-0.00192879,1,0.01,0.153394,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1.796,0.290954,0.194545,1.78571,0.265177,0.216333,-0.0102938,-0.0257771,0.0217888,0.03528700905843395,1,0.08,0.00495897,0.0066585,-0.00780088,-0.00213953,,0.00332809,1,0.02,0.151428,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.25,1.844,0.287347,0.195995,1.82842,0.250193,0.236831,-0.0155765,-0.0371548,0.0408359,0.05736442489993254,1,0.03,0.0330073,0.0362135,-0.0370536,-0.000933704,,-0.0134677,1,0.01,0.171105,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,1.896,0.28269,0.197278,1.88299,0.244807,0.218563,-0.0130104,-0.0378828,0.0212849,0.045358836096288886,1,0.08,-0.0196725,0.00361269,0.028606,-0.000267171,,-0.0117716,1,0.02,0.173328,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.75,1.944,0.277709,0.198196,1.93646,0.237728,0.206354,-0.00754476,-0.0399812,0.00815862,0.041496781046269124,1,0.03,-0.0121197,0.00299117,0.0173721,2.41947e-05,,-0.00256133,1,0.01,0.167816,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.996,0.271589,0.198899,1.9887,0.235073,0.187805,-0.00730326,-0.036516,-0.0110936,0.03885645150534979,1,0.08,-0.00854267,-0.0133259,0.00704845,0.000402272,,-0.00699036,1,0.02,0.175215,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.25,2.044,0.265285,0.199279,2.03413,0.231226,0.190923,-0.00986706,-0.0340587,-0.00835581,0.036430392250011524,1,0.03,0.0145837,-0.0161252,0.00339818,-8.54449e-05,,0.00866326,1,0.01,0.162668,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,2.096,0.257763,0.199398,2.08362,0.221807,0.198555,-0.0123762,-0.0359557,-0.000843716,0.03803543802322587,1,0.08,0.000865687,0.0097041,0.0249046,0.000855634,,-0.0152376,1,0.02,0.188571,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.75,2.144,0.250198,0.199238,2.12953,0.214569,0.19524,-0.0144717,-0.0356285,-0.0039987,0.03866276910452742,1,0.03,0.0109003,-0.00647948,0.0219201,0.000844734,,0.00280847,1,0.01,0.174018,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,2.196,0.241349,0.198773,2.17503,0.204437,0.206708,-0.0209652,-0.0369116,0.00793467,0.04318523837619633,1,0.08,0.0122968,0.00519568,-0.0200432,0.00189435,,-0.0182818,1,0.02,0.197241,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
