time,gt_x,gt_y,gt_z,slam_x,slam_y,slam_z,err_x,err_y,err_z,position_error_norm,dvl_matched,dvl_time_diff,dvl_residual_x,dvl_residual_y,dvl_residual_z,yaw_error,depth_residual,mag_residual,mag_matched,mag_time_diff,mag_yaw_measured,sonar_up_matched,sonar_down_matched,sonar_left_matched,sonar_right_matched,sonar_up_residual,sonar_down_residual,sonar_left_residual,sonar_right_residual,sonar_up_range,sonar_down_range,sonar_left_range,sonar_right_range
9.255,1.844,0.287347,0.195995,1.82839,0.297657,0.23473,-0.0156089,0.0103098,0.0387349,0.04301537182519756,1,0.035,0.0412116,0.0466182,-0.0360674,0.000283815,,-0.0137519,1,0.015,0.171105,1,1,1,1,-0.0312679,-0.00405193,-0.0111169,-0.0149394,2.28972,2.71547,2.22253,2.84633
9.505,1.896,0.28269,0.197278,1.88287,0.296817,0.210237,-0.0131314,0.0141274,0.0129588,0.023236772455743505,1,0.085,-0.0117708,0.0162234,0.0277346,0.00245628,,0.0173694,1,0.005,0.145407,1,1,1,1,-0.00350645,0.0256974,-0.0211488,-0.0244286,2.28588,2.66207,2.23876,2.85813
9.755,1.944,0.277709,0.198196,1.93639,0.28258,0.217868,-0.00760705,0.00487049,0.0196724,0.021646990652342418,1,0.035,-0.00725209,0.00694023,0.0162178,0.00211947,,0.000208916,1,0.015,0.167816,1,1,1,1,-0.0159969,0.0195732,-0.0166518,0.0231229,2.29142,2.67827,2.24902,2.7965
10.005,1.996,0.271589,0.198899,1.98865,0.275717,0.182331,-0.00735315,0.00412779,-0.0165684,0.018590840319001184,1,0.085,-0.00443812,-0.0137527,0.00539942,0.00223358,,-0.00176809,1,0.005,0.172163,1,1,1,1,0.0106325,-0.0197416,-0.000417018,0.00145931,2.3003,2.68361,2.24524,2.81377
10.255,2.044,0.265285,0.199279,2.03415,0.27105,0.19754,-0.00985399,0.00576504,-0.00173918,0.011548227231662008,1,0.035,0.0183458,-0.0177515,-0.00245444,0.000183283,,0.0105493,1,0.015,0.162668,1,1,1,1,-0.0271732,0.032332,0.0137902,0.00925399,2.32245,2.64784,2.23488,2.80032
10.505,2.096,0.257763,0.199398,2.08367,0.265155,0.171635,-0.0123263,0.00739223,-0.0277634,0.03126322305238057,1,0.085,0.0052556,0.0114884,0.021983,-0.000527541,,0.00496112,1,0.005,0.1687,1,1,1,1,0.0332783,-0.0522416,0.0115994,0.00249081,2.28768,2.70783,2.24686,2.80274
10.755,2.144,0.250198,0.199238,2.12959,0.242315,0.193689,-0.0144065,-0.00788274,-0.005549,0.017334250291189405,1,0.035,0.0107946,-0.0193143,0.0192805,-0.00100871,,0.00142874,1,0.015,0.174018,1,1,1,1,0.0244515,0.010592,-0.0225608,0.0335492,2.27573,2.67005,2.30319,2.74795
11.005,2.196,0.241349,0.198773,2.17508,0.243614,0.242742,-0.0209206,0.00226531,0.0439688,0.0487448305689547,1,0.085,0.0155096,0.00436917,-0.0225749,-0.000530762,,-0.0123358,1,0.005,0.189418,1,1,1,1,-0.0627345,0.0228508,0.0181592,-0.0304304,2.31271,2.70732,2.25776,2.81073
11.255,2.244,0.232598,0.198074,2.22802,0.239029,0.18037,-0.015979,0.00643023,-0.0177039,0.024700290971219348,1,0.035,-0.00849091,0.0341796,0.0149365,-0.00191429,,-0.00432325,1,0.015,0.184236,1,1,1,1,0.0185067,-0.0348471,0.027033,0.00538624,2.29355,2.70367,2.26089,2.77412
11.505,2.296,0.222512,0.197027,2.26947,0.221466,0.18866,-0.0265278,-0.00104526,-0.00836634,0.027835451968725063,1,0.085,0.0272205,0.0101087,0.0106479,-0.000457396,,0.000565041,1,0.005,0.179926,1,1,1,1,0.0451756,-0.0440949,-0.0237386,0.00280415,2.25935,2.72333,2.33078,2.75971
